image_id class_id view_id path
1 0 0 bicycle_final/111085122871_0.JPG
2 0 0 bicycle_final/111085122871_1.JPG
3 0 0 bicycle_final/111085122871_2.JPG
4 0 0 bicycle_final/111085122871_3.JPG
5 0 0 bicycle_final/111085122871_4.JPG
6 0 0 bicycle_final/111085122871_5.JPG
7 0 0 bicycle_final/111085122871_6.JPG
8 0 0 bicycle_final/111085122871_7.JPG
9 1 0 bicycle_final/111265328556_0.JPG
10 1 0 bicycle_final/111265328556_1.JPG
11 1 0 bicycle_final/111265328556_2.JPG
12 1 0 bicycle_final/111265328556_3.JPG
13 1 0 bicycle_final/111265328556_4.JPG
14 1 0 bicycle_final/111265328556_5.JPG
15 1 0 bicycle_final/111265328556_6.JPG
16 2 0 bicycle_final/111265348817_0.JPG
17 2 0 bicycle_final/111265348817_1.JPG
18 2 0 bicycle_final/111265348817_2.JPG
19 2 0 bicycle_final/111265348817_3.JPG
20 2 0 bicycle_final/111265348817_4.JPG
21 3 0 bicycle_final/111375616144_0.JPG
22 3 0 bicycle_final/111375616144_1.JPG
23 3 0 bicycle_final/111375616144_2.JPG
24 3 0 bicycle_final/111375616144_3.JPG
25 3 0 bicycle_final/111375616144_4.JPG
26 3 0 bicycle_final/111375616144_5.JPG
27 3 0 bicycle_final/111375616144_6.JPG
28 3 0 bicycle_final/111375616144_7.JPG
29 3 0 bicycle_final/111375616144_8.JPG
30 4 0 bicycle_final/111469262153_0.JPG
31 4 0 bicycle_final/111469262153_1.JPG
32 5 0 bicycle_final/111476691561_0.JPG
33 5 0 bicycle_final/111476691561_1.JPG
34 5 0 bicycle_final/111476691561_2.JPG
35 5 0 bicycle_final/111476691561_3.JPG
36 5 0 bicycle_final/111476691561_4.JPG
37 5 0 bicycle_final/111476691561_5.JPG
38 5 0 bicycle_final/111476691561_6.JPG
39 5 0 bicycle_final/111476691561_7.JPG
40 5 0 bicycle_final/111476691561_8.JPG
41 5 0 bicycle_final/111476691561_9.JPG
42 6 0 bicycle_final/111502876121_0.JPG
43 6 0 bicycle_final/111502876121_1.JPG
44 6 0 bicycle_final/111502876121_10.JPG
45 6 0 bicycle_final/111502876121_11.JPG
46 6 0 bicycle_final/111502876121_2.JPG
47 6 0 bicycle_final/111502876121_3.JPG
48 6 0 bicycle_final/111502876121_4.JPG
49 6 0 bicycle_final/111502876121_5.JPG
50 6 0 bicycle_final/111502876121_6.JPG
51 6 0 bicycle_final/111502876121_7.JPG
52 6 0 bicycle_final/111502876121_8.JPG
53 6 0 bicycle_final/111502876121_9.JPG
54 7 0 bicycle_final/111570592148_0.JPG
55 7 0 bicycle_final/111570592148_1.JPG
56 8 0 bicycle_final/111579336659_0.JPG
57 8 0 bicycle_final/111579336659_1.JPG
58 8 0 bicycle_final/111579336659_2.JPG
59 8 0 bicycle_final/111579336659_3.JPG
60 9 0 bicycle_final/111584821699_0.JPG
61 9 0 bicycle_final/111584821699_1.JPG
62 9 0 bicycle_final/111584821699_2.JPG
63 10 0 bicycle_final/111588452395_0.JPG
64 10 0 bicycle_final/111588452395_1.JPG
65 10 0 bicycle_final/111588452395_2.JPG
66 11 0 bicycle_final/111606776603_0.JPG
67 11 0 bicycle_final/111606776603_1.JPG
68 11 0 bicycle_final/111606776603_2.JPG
69 12 0 bicycle_final/111611735309_0.JPG
70 12 0 bicycle_final/111611735309_1.JPG
71 12 0 bicycle_final/111611735309_2.JPG
72 13 0 bicycle_final/111612717975_0.JPG
73 13 0 bicycle_final/111612717975_1.JPG
74 13 0 bicycle_final/111612717975_2.JPG
75 13 0 bicycle_final/111612717975_3.JPG
76 13 0 bicycle_final/111612717975_4.JPG
77 13 0 bicycle_final/111612717975_5.JPG
78 14 0 bicycle_final/111620439270_0.JPG
79 14 0 bicycle_final/111620439270_1.JPG
80 14 0 bicycle_final/111620439270_2.JPG
81 14 0 bicycle_final/111620439270_3.JPG
82 14 0 bicycle_final/111620439270_4.JPG
83 14 0 bicycle_final/111620439270_5.JPG
84 15 0 bicycle_final/111645993618_0.JPG
85 15 0 bicycle_final/111645993618_1.JPG
86 15 0 bicycle_final/111645993618_2.JPG
87 15 0 bicycle_final/111645993618_3.JPG
88 16 0 bicycle_final/111646738161_0.JPG
89 16 0 bicycle_final/111646738161_1.JPG
90 16 0 bicycle_final/111646738161_2.JPG
91 16 0 bicycle_final/111646738161_3.JPG
92 16 0 bicycle_final/111646738161_4.JPG
93 16 0 bicycle_final/111646738161_5.JPG
94 16 0 bicycle_final/111646738161_6.JPG
95 16 0 bicycle_final/111646738161_7.JPG
96 16 0 bicycle_final/111646738161_8.JPG
97 16 0 bicycle_final/111646738161_9.JPG
98 17 0 bicycle_final/111661598505_0.JPG
99 17 0 bicycle_final/111661598505_1.JPG
100 17 0 bicycle_final/111661598505_2.JPG
101 17 0 bicycle_final/111661598505_3.JPG
102 18 0 bicycle_final/111661603079_0.JPG
103 18 0 bicycle_final/111661603079_1.JPG
104 18 0 bicycle_final/111661603079_2.JPG
105 18 0 bicycle_final/111661603079_3.JPG
106 19 0 bicycle_final/111665568771_0.JPG
107 19 0 bicycle_final/111665568771_1.JPG
108 19 0 bicycle_final/111665568771_2.JPG
109 20 0 bicycle_final/111666161509_0.JPG
110 20 0 bicycle_final/111666161509_1.JPG
111 21 0 bicycle_final/111672542907_0.JPG
112 21 0 bicycle_final/111672542907_1.JPG
113 22 0 bicycle_final/111678374084_0.JPG
114 22 0 bicycle_final/111678374084_1.JPG
115 22 0 bicycle_final/111678374084_2.JPG
116 22 0 bicycle_final/111678374084_3.JPG
117 23 0 bicycle_final/111687027218_0.JPG
118 23 0 bicycle_final/111687027218_1.JPG
119 23 0 bicycle_final/111687027218_10.JPG
120 23 0 bicycle_final/111687027218_11.JPG
121 23 0 bicycle_final/111687027218_2.JPG
122 23 0 bicycle_final/111687027218_3.JPG
123 23 0 bicycle_final/111687027218_4.JPG
124 23 0 bicycle_final/111687027218_5.JPG
125 23 0 bicycle_final/111687027218_6.JPG
126 23 0 bicycle_final/111687027218_7.JPG
127 23 0 bicycle_final/111687027218_8.JPG
128 23 0 bicycle_final/111687027218_9.JPG
129 24 0 bicycle_final/111688507119_0.JPG
130 24 0 bicycle_final/111688507119_1.JPG
131 24 0 bicycle_final/111688507119_2.JPG
132 24 0 bicycle_final/111688507119_3.JPG
133 25 0 bicycle_final/111693649069_0.JPG
134 25 0 bicycle_final/111693649069_1.JPG
135 25 0 bicycle_final/111693649069_2.JPG
136 25 0 bicycle_final/111693649069_3.JPG
137 25 0 bicycle_final/111693649069_4.JPG
138 26 0 bicycle_final/111699218787_0.JPG
139 26 0 bicycle_final/111699218787_1.JPG
140 26 0 bicycle_final/111699218787_2.JPG
141 26 0 bicycle_final/111699218787_3.JPG
142 27 0 bicycle_final/111699241031_0.JPG
143 27 0 bicycle_final/111699241031_1.JPG
144 27 0 bicycle_final/111699241031_2.JPG
145 27 0 bicycle_final/111699241031_3.JPG
146 27 0 bicycle_final/111699241031_4.JPG
147 28 0 bicycle_final/111699316376_0.JPG
148 28 0 bicycle_final/111699316376_1.JPG
149 28 0 bicycle_final/111699316376_2.JPG
150 28 0 bicycle_final/111699316376_3.JPG
151 28 0 bicycle_final/111699316376_4.JPG
152 28 0 bicycle_final/111699316376_5.JPG
153 28 0 bicycle_final/111699316376_6.JPG
154 29 0 bicycle_final/111699846274_0.JPG
155 29 0 bicycle_final/111699846274_1.JPG
156 29 0 bicycle_final/111699846274_2.JPG
157 29 0 bicycle_final/111699846274_3.JPG
158 30 0 bicycle_final/111699866974_0.JPG
159 30 0 bicycle_final/111699866974_1.JPG
160 30 0 bicycle_final/111699866974_2.JPG
161 30 0 bicycle_final/111699866974_3.JPG
162 31 0 bicycle_final/111701547257_0.JPG
163 31 0 bicycle_final/111701547257_1.JPG
164 31 0 bicycle_final/111701547257_2.JPG
165 31 0 bicycle_final/111701547257_3.JPG
166 32 0 bicycle_final/111702172753_0.JPG
167 32 0 bicycle_final/111702172753_1.JPG
168 32 0 bicycle_final/111702172753_2.JPG
169 32 0 bicycle_final/111702172753_3.JPG
170 33 0 bicycle_final/111702406297_0.JPG
171 33 0 bicycle_final/111702406297_1.JPG
172 33 0 bicycle_final/111702406297_2.JPG
173 33 0 bicycle_final/111702406297_3.JPG
174 34 0 bicycle_final/111705341883_0.JPG
175 34 0 bicycle_final/111705341883_1.JPG
176 34 0 bicycle_final/111705341883_2.JPG
177 34 0 bicycle_final/111705341883_3.JPG
178 35 0 bicycle_final/111708744044_0.JPG
179 35 0 bicycle_final/111708744044_1.JPG
